Gene	Accession	Chromosome	End	Start	Strand
Pip4k2c	ENSMUSG00000025417	10	127211585	127197067	-
Kif5a	ENSMUSG00000074657	10	127263348	127225696	-
Mbd6	ENSMUSG00000025409	10	127289018	127281956	-
Gm4189	ENSMUSG00000092384	10	127290788	127289696	-
Mars	ENSMUSG00000040354	10	127311786	127296221	-
Gli1	ENSMUSG00000025407	10	127341974	127329882	-
Inhbe	ENSMUSG00000047492	10	127354411	127348857	-
Inhbc	ENSMUSG00000025405	10	127370431	127356322	-
Shmt2	ENSMUSG00000025403	10	127522444	127517123	-
Nxph4	ENSMUSG00000040258	10	127534559	127525473	-
Lrp1	ENSMUSG00000040249	10	127621148	127538161	-
Nab2	ENSMUSG00000025402	10	127668568	127660918	-
Gm16230	ENSMUSG00000087163	10	127676724	127671604	-
Gpr182	ENSMUSG00000058396	10	127751732	127747276	-
Rdh7	ENSMUSG00000040134	10	127888817	127884028	-
Hsd17b6	ENSMUSG00000025396	10	128007611	127990936	-
Gm47438	ENSMUSG00000111947	10	128082970	128081354	-
Rbms2	ENSMUSG00000040043	10	128180297	128131558	-
Spryd4	ENSMUSG00000051346	10	128211807	128209908	-
Il23a	ENSMUSG00000025383	10	128298752	128296139	-
Coq10a	ENSMUSG00000039914	10	128368997	128363100	-
Gm17201	ENSMUSG00000090761	10	128395563	128391842	-
Slc39a5	ENSMUSG00000039878	10	128401229	128395931	-
Nabp2	ENSMUSG00000025374	10	128411492	128401395	-
Myl6	ENSMUSG00000090841	10	128494145	128490860	-
Myl6b	ENSMUSG00000039824	10	128498685	128494157	-
Esyt1	ENSMUSG00000025366	10	128525871	128509965	-
Zc3h10	ENSMUSG00000039810	10	128547774	128541963	-
Rpl41	ENSMUSG00000093674	10	128549305	128548114	-
Pa2g4	ENSMUSG00000025364	10	128565987	128557766	-
Erbb3	ENSMUSG00000018166	10	128589652	128567523	-
Rps26	ENSMUSG00000025362	10	128626747	128624534	-
Ikzf4	ENSMUSG00000002578	10	128669358	128630843	-
Suox	ENSMUSG00000049858	10	128674073	128669894	-
Rab5b	ENSMUSG00000000711	10	128696264	128677175	-
Cdk2	ENSMUSG00000025358	10	128705031	128697939	-
Dgka	ENSMUSG00000025357	10	128744855	128720134	-
Gm47093	ENSMUSG00000112429	10	128801393	128789429	-
Tmem198b	ENSMUSG00000047090	10	128804370	128800036	-
Ormdl2	ENSMUSG00000025353	10	128821645	128817902	-
Gdf11	ENSMUSG00000025352	10	128891718	128882295	-
Rdh5	ENSMUSG00000025350	10	128922888	128913593	-
Bloc1s1	ENSMUSG00000090247	10	128924035	128917882	-
Mettl7b	ENSMUSG00000025347	10	128960988	128958274	-
Olfr764-ps1	ENSMUSG00000107648	10	129039896	129032697	-
Olfr765	ENSMUSG00000056853	10	129049998	129044817	-
Olfr766-ps1	ENSMUSG00000107748	10	129068977	129061853	-
Olfr767	ENSMUSG00000059762	10	129082910	129074825	-
Olfr768	ENSMUSG00000050198	10	129099375	129090222	-
Olfr769	ENSMUSG00000042801	10	129117861	129108952	-
Olfr770	ENSMUSG00000047868	10	129138998	129132578	-
Olfr771	ENSMUSG00000061367	10	129164751	129160003	-
Olfr772	ENSMUSG00000107662	10	129177921	129172573	-
Olfr773	ENSMUSG00000096000	10	129187419	129186484	-
Olfr777	ENSMUSG00000062914	10	129271485	129264407	-
Olfr796	ENSMUSG00000052012	10	129612570	129605492	-
Olfr798	ENSMUSG00000095002	10	129627934	129622615	-
Olfr801	ENSMUSG00000058513	10	129673865	129666989	-
Olfr802	ENSMUSG00000093866	10	129688169	129677683	-
Olfr803	ENSMUSG00000046041	10	129694286	129690621	-
Olfr805	ENSMUSG00000096858	10	129729375	129721221	-
Olfr806	ENSMUSG00000071065	10	129741921	129735571	-
Olfr807	ENSMUSG00000050478	10	129757793	129754092	-
Olfr810	ENSMUSG00000069421	10	129794917	129787289	-
Olfr811	ENSMUSG00000063173	10	129804396	129800615	-
Olfr812	ENSMUSG00000049052	10	129846094	129841418	-
Olfr814	ENSMUSG00000059134	10	129879851	129871473	-
Olfr815	ENSMUSG00000061961	10	129905867	129900570	-
Olfr816	ENSMUSG00000063715	10	129915597	129909163	-
Olfr818	ENSMUSG00000058071	10	129949100	129944396	-
Olfr819	ENSMUSG00000094295	10	129967266	129963011	-
Olfr247	ENSMUSG00000095608	10	129976140	129973831	-
Gm10310	ENSMUSG00000094632	10	129985062	129980075	-
Olfr823	ENSMUSG00000096747	10	130115383	130111527	-
Olfr824	ENSMUSG00000095804	10	130130000	130123470	-
Olfr825	ENSMUSG00000058084	10	130166766	130159732	-
Olfr826	ENSMUSG00000059862	10	130184186	130178471	-
Olfr827	ENSMUSG00000045559	10	130214403	130203049	-
Neurod4	ENSMUSG00000048015	10	130280240	130268152	-
Vmn2r84	ENSMUSG00000070601	10	130394332	130377925	-
Vmn2r85	ENSMUSG00000092048	10	130429703	130414064	-
Vmn2r86	ENSMUSG00000092162	10	130456050	130441562	-
Vmn2r87	ENSMUSG00000091511	10	130497396	130471052	-
9230019H11Rik	ENSMUSG00000071434	10	3129546	3119841	+
Ppp1r14c	ENSMUSG00000040653	10	3464975	3366057	+
Iyd	ENSMUSG00000019762	10	3554877	3540240	+
Plekhg1	ENSMUSG00000040624	10	3967303	3740364	+
Mthfd1l	ENSMUSG00000040675	10	4167081	3973118	+
Akap12	ENSMUSG00000038587	10	4359470	4266380	+
Gm21781	ENSMUSG00000095123	10	4396424	4391587	+
Gm16153	ENSMUSG00000085687	10	4423369	4409033	+
Armt1	ENSMUSG00000061759	10	4455141	4432467	+
Ccdc170	ENSMUSG00000019767	10	4562231	4482502	+
Esr1	ENSMUSG00000019768	10	5005614	4611593	+
Gm10097	ENSMUSG00000096553	10	5071975	5069192	+
Myct1	ENSMUSG00000046916	10	5606904	5593775	+
Vip	ENSMUSG00000019772	10	5647617	5639218	+
Oprm1	ENSMUSG00000000766	10	7038198	6758506	+
Lrp11	ENSMUSG00000019796	10	7625483	7589800	+
Nup43	ENSMUSG00000040034	10	7678881	7667503	+
Lats1	ENSMUSG00000040021	10	7716460	7681214	+
Katna1	ENSMUSG00000019794	10	7763150	7726000	+
B430219N15Rik	ENSMUSG00000085211	10	7781357	7780185	+
Ppil4	ENSMUSG00000015757	10	7823135	7792891	+
Zc3h12d	ENSMUSG00000039981	10	7870396	7832470	+
Gm30906	ENSMUSG00000112109	10	8193340	8176131	+
Gm48654	ENSMUSG00000111215	10	8717073	8713241	+
Gm26674	ENSMUSG00000097597	10	8886878	8884637	+
Gm48727	ENSMUSG00000111731	10	8945137	8903981	+
Gm48728	ENSMUSG00000111674	10	8967244	8951949	+
Gm48749	ENSMUSG00000111627	10	9395259	9336682	+
Gm48757	ENSMUSG00000112700	10	9567605	9566376	+
Gm48759	ENSMUSG00000112303	10	9599423	9596472	+
Gm46210	ENSMUSG00000112146	10	9918843	9901313	+
Gm28905	ENSMUSG00000101621	10	10207981	9976627	+
Gm48278	ENSMUSG00000112074	10	10092295	10083943	+
Gm48279	ENSMUSG00000112060	10	10126891	10122486	+
4930598N05Rik	ENSMUSG00000109160	10	10258699	10184800	+
Gm10944	ENSMUSG00000078481	10	10681858	10681348	+
4930567K20Rik	ENSMUSG00000112730	10	10778370	10748930	+
Shprh	ENSMUSG00000090112	10	11217595	11149427	+
Fbxo30	ENSMUSG00000047648	10	11298052	11281330	+
Epm2a	ENSMUSG00000055493	10	11459644	11343404	+
Gm48680	ENSMUSG00000112151	10	11587244	11580086	+
Sf3b5	ENSMUSG00000078348	10	13009183	13005343	+
Plagl1	ENSMUSG00000019817	10	13131694	13060504	+
Fuca2	ENSMUSG00000019810	10	13519035	13499540	+
Adat2	ENSMUSG00000019808	10	13563376	13552894	+
Gm48773	ENSMUSG00000112055	10	13635107	13627198	+
Gm32172	ENSMUSG00000112172	10	13879208	13871280	+
Hivep2	ENSMUSG00000015501	10	14151374	13966075	+
Gm48843	ENSMUSG00000112266	10	14206821	14197015	+
Gm48845	ENSMUSG00000112284	10	14266790	14226489	+
Gm40603	ENSMUSG00000112679	10	14324756	14296921	+
Gm48854	ENSMUSG00000112225	10	14336615	14327411	+
Gm46212	ENSMUSG00000111888	10	14551031	14544490	+
Gm16234	ENSMUSG00000085572	10	14668318	14664220	+
Nmbr	ENSMUSG00000019865	10	14770850	14705591	+
Gm47698	ENSMUSG00000112113	10	14774519	14771940	+
Gm47710	ENSMUSG00000112928	10	15392942	15300231	+
Gm47712	ENSMUSG00000112089	10	15780010	15600227	+
C330004P14Rik	ENSMUSG00000112227	10	15807065	15791777	+
Gm47729	ENSMUSG00000112929	10	16644555	16584268	+
Cited2	ENSMUSG00000039910	10	17725674	17723218	+
Txlnb	ENSMUSG00000039891	10	17845665	17796226	+
Reps1	ENSMUSG00000019854	10	18125155	18055861	+
Gm10827	ENSMUSG00000096977	10	18246019	18235053	+
Nhsl1	ENSMUSG00000039835	10	18533892	18318985	+
Gm32926	ENSMUSG00000111474	10	18837979	18743469	+
Perp	ENSMUSG00000019851	10	18857073	18845020	+
Gm20139	ENSMUSG00000111052	10	19206702	19141751	+
Gm33056	ENSMUSG00000110917	10	19325817	19290989	+
Olig3	ENSMUSG00000045591	10	19358604	19356533	+
Gm33104	ENSMUSG00000110902	10	19507311	19486715	+
Ifngr1	ENSMUSG00000020009	10	19610229	19591949	+
Il22ra2	ENSMUSG00000039760	10	19634681	19621998	+
9230106D20Rik	ENSMUSG00000042940	10	19660801	19644750	+
Il20ra	ENSMUSG00000020007	10	19760053	19712570	+
Map3k5	ENSMUSG00000071369	10	20142753	19934472	+
Map7	ENSMUSG00000019996	10	20281590	20148471	+
Bclaf1	ENSMUSG00000037608	10	20344613	20312469	+
Mtfr2	ENSMUSG00000019992	10	20361304	20347770	+
Gm48651	ENSMUSG00000111091	10	20831303	20756117	+
Ahi1	ENSMUSG00000019986	10	21080429	20952547	+
Gm48189	ENSMUSG00000111102	10	21102226	21100560	+
Gm26577	ENSMUSG00000097923	10	21154374	21145094	+
Gm33619	ENSMUSG00000111005	10	21188620	21182695	+
Hbs1l	ENSMUSG00000019977	10	21368898	21295979	+
Aldh8a1	ENSMUSG00000037542	10	21396585	21377291	+
1700021A07Rik	ENSMUSG00000037535	10	21426565	21419358	+
1700020N01Rik	ENSMUSG00000050844	10	21622376	21593145	+
Gm5420	ENSMUSG00000056716	10	21707440	21686411	+
Gm29323	ENSMUSG00000099749	10	21747006	21743867	+
Sgk1	ENSMUSG00000019970	10	21999903	21882184	+
Raet1e	ENSMUSG00000053219	10	22374139	22158569	+
H60b	ENSMUSG00000075297	10	22288849	22158586	+
Gm26581	ENSMUSG00000097108	10	22217241	22212653	+
Raet1d	ENSMUSG00000078452	10	22374139	22360552	+
Gm10825	ENSMUSG00000096937	10	22407470	22402883	+
Slc2a12	ENSMUSG00000037490	10	22704285	22645011	+
Gm47634	ENSMUSG00000112888	10	22753337	22751897	+
Gm10824	ENSMUSG00000112397	10	22823330	22815749	+
Slc18b1	ENSMUSG00000037455	10	23827968	23796986	+
Vnn3	ENSMUSG00000020010	10	23869843	23851462	+
Vnn1	ENSMUSG00000037440	10	23905343	23894688	+
Taar1	ENSMUSG00000056379	10	23921469	23920356	+
Taar2	ENSMUSG00000059763	10	23941583	23938572	+
Taar3	ENSMUSG00000069708	10	23950589	23949558	+
Taar4	ENSMUSG00000069707	10	23961537	23960494	+
Taar5	ENSMUSG00000069706	10	23971719	23970706	+
Taar7b	ENSMUSG00000095171	10	24001015	23999939	+
Taar7d	ENSMUSG00000095569	10	24028298	24027222	+
Taar7e	ENSMUSG00000100689	10	24038690	24037614	+
Taar7f	ENSMUSG00000100950	10	24050586	24049510	+
Taar8a	ENSMUSG00000096442	10	24077534	24076500	+
Stx7	ENSMUSG00000019998	10	24190222	24149302	+
Moxd1	ENSMUSG00000020000	10	24302790	24223517	+
Gm15271	ENSMUSG00000086148	10	24452657	24447490	+
Ccn2	ENSMUSG00000019997	10	24598683	24595442	+
Med23	ENSMUSG00000019984	10	24913681	24869986	+
Gm36172	ENSMUSG00000112758	10	24930059	24927619	+
Gm47715	ENSMUSG00000111970	10	25031035	25000020	+
Gm40617	ENSMUSG00000112352	10	25306432	25298609	+
Epb41l2	ENSMUSG00000019978	10	25523519	25359798	+
Gm29571	ENSMUSG00000101537	10	25673343	25536386	+
Gm47939	ENSMUSG00000112324	10	25903916	25899279	+
Gm9767	ENSMUSG00000039098	10	26079447	26078255	+
Samd3	ENSMUSG00000051354	10	26272172	26229707	+
Gm30034	ENSMUSG00000112797	10	26498747	26493098	+
Gm48893	ENSMUSG00000111950	10	26742860	26695574	+
Arhgap18	ENSMUSG00000039031	10	26918648	26753421	+
Gm48084	ENSMUSG00000112751	10	26982036	26949740	+
4930579H20Rik	ENSMUSG00000101636	10	27397225	27389866	+
Ptprk	ENSMUSG00000019889	10	28597397	28074820	+
Themis	ENSMUSG00000049109	10	28883818	28668360	+
Soga3	ENSMUSG00000038916	10	29199630	29143839	+
9330159F19Rik	ENSMUSG00000004360	10	29230779	29211606	+
Echdc1	ENSMUSG00000019883	10	29347469	29313166	+
Gm40621	ENSMUSG00000111646	10	29374945	29366740	+
Gm48159	ENSMUSG00000110831	10	29614471	29534717	+
Hddc2	ENSMUSG00000000295	10	31328204	31313383	+
Gm48094	ENSMUSG00000111256	10	31414401	31398923	+
Gm48093	ENSMUSG00000110976	10	31433506	31429993	+
Trdn	ENSMUSG00000019787	10	33476709	33080554	+
Gm15939	ENSMUSG00000090087	10	33662432	33624246	+
Sult3a1	ENSMUSG00000069668	10	33879532	33857721	+
Rsph4a	ENSMUSG00000039552	10	33916021	33905111	+
Gm48045	ENSMUSG00000111905	10	34020762	34018815	+
Trappc3l	ENSMUSG00000071340	10	34109815	34037597	+
Tspyl1	ENSMUSG00000047514	10	34285275	34282190	+
Tspyl4	ENSMUSG00000039485	10	34301320	34297442	+
Col10a1	ENSMUSG00000039462	10	34397085	34389981	+
Frk	ENSMUSG00000019779	10	34611278	34483399	+
Gm49446	ENSMUSG00000111550	10	35854475	35838490	+
Gm47049	ENSMUSG00000110731	10	36396928	36391592	+
Hs3st5	ENSMUSG00000044499	10	36834397	36506814	+
Hdac2	ENSMUSG00000019777	10	37001889	36974544	+
5930403N24Rik	ENSMUSG00000046463	10	37151315	37139402	+
Gm26535	ENSMUSG00000097742	10	37379652	37337486	+
4930591E09Rik	ENSMUSG00000111234	10	38181903	38175780	+
Lama4	ENSMUSG00000019846	10	39110188	38965515	+
Tube1	ENSMUSG00000019845	10	39152542	39133976	+
Gm31562	ENSMUSG00000111008	10	39255100	39245046	+
Fyn	ENSMUSG00000019843	10	39565381	39368855	+
Traf3ip2	ENSMUSG00000019842	10	39655307	39612934	+
Rev3l	ENSMUSG00000019841	10	39875211	39732118	+
4930547M16Rik	ENSMUSG00000097890	10	39907931	39899329	+
Gm31992	ENSMUSG00000110781	10	40169759	40164110	+
A930033M14Rik	ENSMUSG00000111665	10	40261333	40260934	+
Cdk19	ENSMUSG00000038481	10	40483818	40339564	+
Slc22a16	ENSMUSG00000019834	10	40604132	40570336	+
Ddo	ENSMUSG00000063428	10	40681847	40630011	+
Mettl24	ENSMUSG00000045555	10	40811083	40683282	+
Wasf1	ENSMUSG00000019831	10	40938570	40883475	+
Gm48057	ENSMUSG00000111098	10	41037214	41035195	+
Gm32284	ENSMUSG00000111576	10	41101794	41075368	+
Ak9	ENSMUSG00000091415	10	41434534	41303980	+
Zbtb24	ENSMUSG00000019826	10	41465574	41450383	+
Mical1	ENSMUSG00000019823	10	41487032	41476314	+
Ppil6	ENSMUSG00000078451	10	41514286	41490439	+
Cd164	ENSMUSG00000019818	10	41531048	41519414	+
Gm17196	ENSMUSG00000090708	10	41556552	41553762	+
5730435O14Rik	ENSMUSG00000091370	10	41576476	41568016	+
BC048559	ENSMUSG00000102114	10	41783437	41746721	+
Sesn1	ENSMUSG00000038332	10	41908424	41809935	+
1700016J18Rik	ENSMUSG00000111103	10	42018810	42018216	+
Snx3	ENSMUSG00000019804	10	42535381	42502030	+
Ostm1	ENSMUSG00000038280	10	42702459	42583822	+
Sec63	ENSMUSG00000019802	10	42832514	42761496	+
Scml4	ENSMUSG00000044770	10	42960780	42860370	+
Gm47815	ENSMUSG00000111171	10	43050219	43034993	+
Gm29246	ENSMUSG00000102062	10	43173958	43173263	+
9030612E09Rik	ENSMUSG00000045008	10	43176562	43174699	+
Pdss2	ENSMUSG00000038240	10	43464882	43221486	+
Bend3	ENSMUSG00000038214	10	43515396	43478831	+
Gm47889	ENSMUSG00000111368	10	43555817	43518571	+
Gm9803	ENSMUSG00000045886	10	43524646	43524084	+
Cd24a	ENSMUSG00000047139	10	43584265	43578284	+
F930017D23Rik	ENSMUSG00000075184	10	43709668	43593397	+
Gm34481	ENSMUSG00000111565	10	43663498	43659318	+
1700027J07Rik	ENSMUSG00000111422	10	43765836	43745809	+
4933404K13Rik	ENSMUSG00000111342	10	43833392	43824200	+
Rtn4ip1	ENSMUSG00000019864	10	43957201	43901807	+
Atg5	ENSMUSG00000038160	10	44364291	44268358	+
Gm35154	ENSMUSG00000111535	10	44689081	44598720	+
Gm48066	ENSMUSG00000111034	10	44662496	44647518	+
Gm47389	ENSMUSG00000111362	10	44717165	44715558	+
Gm47392	ENSMUSG00000110893	10	44823886	44730940	+
Gm40639	ENSMUSG00000110891	10	45028152	45024302	+
Prep	ENSMUSG00000019849	10	45167198	45067203	+
Popdc3	ENSMUSG00000019848	10	45318452	45178098	+
Bves	ENSMUSG00000071317	10	45372479	45335772	+
Hace1	ENSMUSG00000038822	10	45712345	45577829	+
D030045P18Rik	ENSMUSG00000110874	10	45852283	45807562	+
Gm35430	ENSMUSG00000111182	10	46325294	46228639	+
Gm47568	ENSMUSG00000111419	10	47037346	47024247	+
Ascc3	ENSMUSG00000038774	10	50851485	50592669	+
Sim1	ENSMUSG00000019913	10	50989152	50894754	+
Gm46189	ENSMUSG00000112212	10	51461404	51455980	+
Lilr4b	ENSMUSG00000112023	10	51486703	51480632	+
Lilrb4a	ENSMUSG00000112148	10	51496611	51490956	+
Gm46224	ENSMUSG00000112843	10	51531161	51526340	+
1700042O05Rik	ENSMUSG00000112878	10	51675831	51666989	+
Rfx6	ENSMUSG00000019900	10	51730432	51677756	+
Gm47613	ENSMUSG00000112270	10	51761015	51757257	+
Vgll2	ENSMUSG00000049641	10	52028471	52022502	+
Dcbld1	ENSMUSG00000019891	10	52321378	52233619	+
Gm26741	ENSMUSG00000097704	10	52358853	52358767	+
Nepn	ENSMUSG00000038624	10	52404625	52388972	+
Nus1	ENSMUSG00000023068	10	52440183	52417547	+
Gm36065	ENSMUSG00000112552	10	52600673	52594012	+
Slc35f1	ENSMUSG00000038602	10	53111622	52690533	+
Gm47622	ENSMUSG00000112681	10	53104953	53102543	+
Gm40649	ENSMUSG00000112376	10	53220463	53181180	+
Gm36173	ENSMUSG00000112835	10	53260736	53235187	+
Gm19395	ENSMUSG00000112709	10	53283686	53280281	+
Pln	ENSMUSG00000038583	10	53345987	53337667	+
Gm36229	ENSMUSG00000112132	10	53424272	53409882	+
Gm40650	ENSMUSG00000112733	10	53514547	53488222	+
Gm47738	ENSMUSG00000112530	10	53571582	53569669	+
Asf1a	ENSMUSG00000019857	10	53609225	53596757	+
Gm47917	ENSMUSG00000112824	10	54065069	54063811	+
Gm16998	ENSMUSG00000097069	10	54081081	54075922	+
Msl3l2	ENSMUSG00000047669	10	56116880	56106917	+
Gja1	ENSMUSG00000050953	10	56402513	56377330	+
Gm36595	ENSMUSG00000112833	10	56475967	56431981	+
Gm40652	ENSMUSG00000112345	10	57157621	57117222	+
Hsf2	ENSMUSG00000019878	10	57513135	57486385	+
Pkib	ENSMUSG00000019876	10	57741112	57631981	+
Fabp7	ENSMUSG00000019874	10	57788450	57784881	+
Smpdl3a	ENSMUSG00000019872	10	57811830	57794335	+
Gcc2	ENSMUSG00000038039	10	58305599	58255497	+
Lims1	ENSMUSG00000019920	10	58424691	58323466	+
Ranbp2	ENSMUSG00000003226	10	58494356	58446920	+
Ccdc138	ENSMUSG00000038010	10	58576244	58497948	+
BB019430	ENSMUSG00000091526	10	58704279	58696745	+
Sh3rf3	ENSMUSG00000037990	10	59138916	58813359	+
Sowahc	ENSMUSG00000098188	10	59226434	59221953	+
P4ha1	ENSMUSG00000019916	10	59373304	59323296	+
Pla2g12b	ENSMUSG00000009646	10	59421976	59403660	+
Gm10322	ENSMUSG00000071280	10	59617416	59616063	+
Micu1	ENSMUSG00000020111	10	59864132	59702477	+
Dnajb12	ENSMUSG00000020109	10	59899302	59879556	+
Ascc1	ENSMUSG00000044475	10	60099988	60002805	+
Spock2	ENSMUSG00000058297	10	60135198	60106219	+
Psap	ENSMUSG00000004207	10	60302597	60277627	+
Vsir	ENSMUSG00000020101	10	60372684	60346851	+
Gm17455	ENSMUSG00000090439	10	60403559	60399726	+
Gm26947	ENSMUSG00000098055	10	60940942	60931991	+
Gm20611	ENSMUSG00000093568	10	61038080	61031303	+
Pcbd1	ENSMUSG00000020098	10	61094324	61089331	+
Tbata	ENSMUSG00000020096	10	61188841	61171954	+
Prf1	ENSMUSG00000037202	10	61304680	61297833	+
Nodal	ENSMUSG00000037171	10	61425338	61417972	+
Lrrc20	ENSMUSG00000037151	10	61582791	61475801	+
Npffr1	ENSMUSG00000020090	10	61628565	61595492	+
Ppa1	ENSMUSG00000020089	10	61674168	61648552	+
Sar1a	ENSMUSG00000020088	10	61693297	61680299	+
Tysnd1	ENSMUSG00000020087	10	61702773	61695514	+
Aifm2	ENSMUSG00000020085	10	61739260	61715263	+
Neurog3	ENSMUSG00000044312	10	62134763	62133090	+
Tacr2	ENSMUSG00000020081	10	62265990	62252438	+
Hk1os	ENSMUSG00000085347	10	62363367	62340256	+
4930507D05Rik	ENSMUSG00000097129	10	62451353	62449489	+
4933428P19Rik	ENSMUSG00000105203	10	62579069	62577694	+
Gm47257	ENSMUSG00000112347	10	62604128	62602350	+
Slc25a16	ENSMUSG00000071253	10	62946498	62920633	+
Dna2	ENSMUSG00000036875	10	62974185	62947026	+
Rufy2	ENSMUSG00000020070	10	63017210	62980223	+
Gm16135	ENSMUSG00000084985	10	62999689	62998779	+
Pbld2	ENSMUSG00000020072	10	63058813	63024315	+
Pbld1	ENSMUSG00000112129	10	63077962	63060162	+
Atoh7	ENSMUSG00000036816	10	63101279	63099651	+
Herc4	ENSMUSG00000020064	10	63317878	63243810	+
Gm16145	ENSMUSG00000085372	10	63366887	63353853	+
Dnajc12	ENSMUSG00000036764	10	63410576	63382443	+
Ctnna3	ENSMUSG00000060843	10	65003667	63430098	+
4930407I19Rik	ENSMUSG00000112210	10	66179514	66145296	+
Gm28139	ENSMUSG00000101338	10	66641862	66640918	+
Gm31181	ENSMUSG00000112202	10	66705961	66698241	+
Gm47895	ENSMUSG00000112383	10	66762095	66759454	+
Gm47896	ENSMUSG00000112425	10	66822354	66809840	+
Gm47897	ENSMUSG00000112514	10	66827403	66824169	+
Gm47900	ENSMUSG00000112379	10	66839501	66837597	+
Gm26576	ENSMUSG00000097921	10	66923599	66920302	+
Gm31763	ENSMUSG00000112925	10	67041326	67005020	+
Jmjd1c	ENSMUSG00000037876	10	67256326	67096125	+
Gm49454	ENSMUSG00000112314	10	67418927	67297406	+
Gm32023	ENSMUSG00000112848	10	67425251	67423994	+
Egr2	ENSMUSG00000037868	10	67542188	67535475	+
Gm32364	ENSMUSG00000112558	10	67586387	67575883	+
Gm32515	ENSMUSG00000112097	10	67666745	67665359	+
Gm49766	ENSMUSG00000116971	10	67836401	67785749	+
Rtkn2	ENSMUSG00000037846	10	68059740	67979570	+
Gm47078	ENSMUSG00000112275	10	68326978	68313008	+
Gm32872	ENSMUSG00000112793	10	68533936	68530094	+
Tmem26	ENSMUSG00000060044	10	68782650	68723646	+
Rhobtb1	ENSMUSG00000019944	10	69291791	69151434	+
Gm40685	ENSMUSG00000112798	10	69315376	69312139	+
Ank3	ENSMUSG00000069601	10	70027438	69398773	+
Ccdc6	ENSMUSG00000048701	10	70193200	70097121	+
Mrln	ENSMUSG00000019933	10	70219711	70204664	+
Slc16a9	ENSMUSG00000037762	10	70285968	70245100	+
Fam13c	ENSMUSG00000043259	10	70558736	70440481	+
Gm48021	ENSMUSG00000112752	10	70813822	70807242	+
Gm48022	ENSMUSG00000112320	10	70816052	70813845	+
Gm40689	ENSMUSG00000112870	10	70837863	70830755	+
Gm48023	ENSMUSG00000112883	10	70853726	70847017	+
4930533K18Rik	ENSMUSG00000047692	10	70934324	70868644	+
Gm15647	ENSMUSG00000090212	10	71083651	71082876	+
1700113B09Rik	ENSMUSG00000112028	10	71204487	71181036	+
Gm34376	ENSMUSG00000112813	10	71292483	71287729	+
Gm20609	ENSMUSG00000093732	10	71313977	71310745	+
Ipmk	ENSMUSG00000060733	10	71433327	71347763	+
Gm34544	ENSMUSG00000112126	10	71678840	71527281	+
Gm34609	ENSMUSG00000112414	10	72111778	72026982	+
Zwint	ENSMUSG00000019923	10	72674964	72654845	+
Pcdh15	ENSMUSG00000052613	10	74649737	73099342	+
Gm15397	ENSMUSG00000085176	10	73518390	73489974	+
Gnaz	ENSMUSG00000040009	10	75016907	74967177	+
Rab36	ENSMUSG00000020175	10	75054748	75037058	+
Bcr	ENSMUSG00000009681	10	75184921	75060592	+
Specc1l	ENSMUSG00000033444	10	75312743	75212073	+
Adora2a	ENSMUSG00000020178	10	75334784	75316877	+
Upb1	ENSMUSG00000033427	10	75441679	75401115	+
Snrpd3	ENSMUSG00000020180	10	75537381	75517551	+
Ggt1	ENSMUSG00000006345	10	75586200	75561604	+
Ggt5	ENSMUSG00000006344	10	75617200	75589340	+
Derl3	ENSMUSG00000009092	10	75895941	75893413	+
Chchd10	ENSMUSG00000049422	10	75937747	75933130	+
Vpreb3	ENSMUSG00000000903	10	75949657	75943057	+
Gm5134	ENSMUSG00000033255	10	76009591	75954514	+
Zfp280b	ENSMUSG00000049764	10	76043234	76032650	+
Gm16222	ENSMUSG00000086798	10	76080502	76078617	+
Slc5a4a	ENSMUSG00000020229	10	76189265	76147451	+
S100b	ENSMUSG00000033208	10	76261159	76253853	+
Gm16240	ENSMUSG00000089711	10	76294860	76293165	+
1700094J05Rik	ENSMUSG00000101695	10	76401507	76389015	+
2610028H24Rik	ENSMUSG00000009114	10	76461110	76449081	+
Mcm3ap	ENSMUSG00000001150	10	76515857	76468927	+
Lss	ENSMUSG00000033105	10	76557138	76531588	+
Spatc1l	ENSMUSG00000009115	10	76570201	76562272	+
Ftcd	ENSMUSG00000001155	10	76590338	76575648	+
Gm35608	ENSMUSG00000112721	10	76686801	76684432	+
Gm10787	ENSMUSG00000074919	10	77022214	77011995	+
Slc19a1	ENSMUSG00000001436	10	77061002	77032241	+
Pofut2	ENSMUSG00000020260	10	77269575	77259218	+
Gm35920	ENSMUSG00000112818	10	77471629	77457917	+
Itgb2	ENSMUSG00000000290	10	77565708	77530252	+
Pttg1ip	ENSMUSG00000009291	10	77598732	77581720	+
Sumo3	ENSMUSG00000020265	10	77618331	77606097	+
Ube2g2	ENSMUSG00000009293	10	77645993	77622275	+
Tspear	ENSMUSG00000069581	10	77887021	77686569	+
Gm10272	ENSMUSG00000069584	10	77706975	77706626	+
Gm10024	ENSMUSG00000094012	10	77712009	77711457	+
Gm10142	ENSMUSG00000094146	10	77716169	77715807	+
Krtap12-1	ENSMUSG00000069583	10	77721254	77720599	+
Gm10100	ENSMUSG00000096421	10	77726848	77726486	+
Gm49918	ENSMUSG00000112600	10	77836652	77814682	+
Krtap10-10	ENSMUSG00000112223	10	77837252	77835947	+
Gm36176	ENSMUSG00000112653	10	77847303	77846803	+
Gm10318	ENSMUSG00000071195	10	77853788	77852859	+
